.Device.DeviceId,Start_time_time,Start_time_decimal,Duration,Decimal_Duration,Terminal,
b2C,6:00,0.25,1:21,0.06,A,
b2C,6:13,0.26,1:22,0.06,A,
b2C,12:29,0.52,1:04,0.04,A,
b2C,8:17,0.35,1:01,0.04,A,
b2C,12:10,0.51,1:12,0.05,A,
b2C,15:43,0.65,1:18,0.05,A,
b2C,7:26,0.31,1:13,0.05,A,
b2C,6:11,0.26,1:16,0.05,A,
b2C,9:46,0.41,1:27,0.06,A,
bA3,18:09,0.76,1:03,0.04,D,
bA3,13:56,0.58,1:00,0.04,D,
bA3,12:02,0.50,1:40,0.07,D,
b2,10:04,0.42,1:14,0.05,G,
b2,9:02,0.38,1:00,0.04,G,
b2,6:58,0.29,1:01,0.04,G,
b2,11:07,0.46,1:32,0.06,G,
b89,12:25,0.52,1:07,0.05,G,
b89,8:36,0.36,1:31,0.06,E,
b89,8:28,0.35,1:21,0.06,G,
b89,9:41,0.40,1:19,0.06,E,
b89,11:41,0.49,1:07,0.05,G,
b89,14:03,0.59,1:34,0.07,G,
b89,14:18,0.60,1:27,0.06,J,
b89,7:46,0.32,1:06,0.05,G,
b89,12:36,0.53,1:03,0.04,G,
bA0,10:14,0.43,1:33,0.06,D,
bA0,9:17,0.39,1:05,0.05,D,
bA0,6:31,0.27,1:43,0.07,D,
bA0,12:44,0.53,3:35,0.15,D,
bA0,3:35,0.15,1:07,0.05,D,
bA0,7:49,0.33,2:39,0.11,D,
bA0,10:24,0.43,1:17,0.05,F,
bA0,10:00,0.42,1:28,0.06,D,
bA0,7:19,0.30,1:00,0.04,E,
bA0,12:07,0.50,1:15,0.05,F,
b14,14:52,0.62,3:09,0.13,G,
b14,11:27,0.48,1:06,0.05,G,
b14,13:31,0.56,1:30,0.06,G,
b14,9:00,0.38,1:20,0.06,G,
b14,8:57,0.37,1:20,0.06,G,
b14,14:31,0.60,1:09,0.05,G,
b14,12:53,0.54,2:15,0.09,G,
b14,14:33,0.61,1:07,0.05,G,
b14,8:07,0.34,2:11,0.09,G,
b14,11:27,0.48,1:53,0.08,G,
b14,9:16,0.39,1:29,0.06,G,
b14,11:24,0.48,1:20,0.06,E,
b14,15:32,0.65,1:32,0.06,G,
b14,13:40,0.57,1:09,0.05,D,
b13,10:39,0.44,1:37,0.07,A,
b13,7:53,0.33,1:04,0.04,A,
b13,11:31,0.48,1:36,0.07,A,
b13,7:19,0.30,1:10,0.05,A,
b13,13:23,0.56,1:16,0.05,A,
b13,7:22,0.31,1:04,0.05,A,
b13,19:38,0.82,2:04,0.09,A,
b13,19:56,0.83,1:06,0.05,A,
b13,7:33,0.31,1:01,0.04,A,
b13,11:09,0.46,1:25,0.06,A,
b13,20:24,0.85,1:00,0.04,A,
b13,8:54,0.37,1:00,0.04,A,
b13,18:04,0.75,1:02,0.04,A,
b13,23:32,0.98,1:10,0.05,A,
b96,17:34,0.73,1:03,0.04,D,
b96,16:55,0.70,1:03,0.04,E,
b96,5:49,0.24,1:30,0.06,D,
b96,23:57,1.00,1:00,0.04,E,
b96,19:00,0.79,1:10,0.05,E,
b96,12:08,0.51,1:10,0.05,E,
b96,16:26,0.68,1:04,0.05,E,
b96,16:51,0.70,1:08,0.05,E,
b96,11:03,0.46,1:42,0.07,E,
b96,18:31,0.77,1:02,0.04,E,
b96,6:11,0.26,1:13,0.05,E,
b96,9:34,0.40,1:14,0.05,E,
b96,5:53,0.25,2:02,0.09,D,
b96,17:55,0.75,1:21,0.06,F,
b96,22:25,0.93,2:00,0.08,E,
b96,13:36,0.57,1:12,0.05,E,
b96,6:18,0.26,2:04,0.09,E,
b96,13:13,0.55,1:52,0.08,E,
b96,11:44,0.49,1:06,0.05,D,
b96,19:20,0.81,1:17,0.05,D,
b96,12:46,0.53,1:46,0.07,E,
bE,13:02,0.54,1:01,0.04,D,
bE,7:53,0.33,1:06,0.05,D,
bE,8:46,0.37,1:12,0.05,D,
bE,12:50,0.53,1:28,0.06,D,
bE,7:18,0.30,1:12,0.05,D,
bE,12:32,0.52,1:18,0.05,J,
bE,10:56,0.46,1:37,0.07,D,
b7C,15:56,0.66,1:03,0.04,D,
b7C,7:11,0.30,2:02,0.08,D,
b7C,12:59,0.54,1:49,0.08,J,
b7C,7:23,0.31,2:11,0.09,D,
b7C,12:53,0.54,1:06,0.05,D,
b7C,12:02,0.50,1:07,0.05,J,
b7C,9:56,0.41,1:01,0.04,D,
b7C,15:51,0.66,1:14,0.05,J,
b7C,8:29,0.35,1:47,0.07,J,
b7C,10:47,0.45,1:32,0.06,D,
b7C,12:40,0.53,1:42,0.07,D,
b82,8:49,0.37,1:04,0.04,C,
b82,8:14,0.34,2:03,0.09,C,
b82,8:03,0.34,1:02,0.04,B,
